order_id,order_item_id,product_id,seller_id,price,freight_value
ORD0000000,1,PROD00074,SELL00113,232.92,55.47
ORD0000000,2,PROD00294,SELL96438,501.67,57.68
ORD0000001,1,PROD00156,SELL00005,494.71,20.3
ORD0000001,2,PROD00214,SELL00110,514.03,7.69
ORD0000002,1,PROD00278,SELL00096,69.24,7.67
ORD0000002,2,PROD00119,SELL00069,340.32,54.15
ORD0000002,3,PROD00227,SELL00057,382.15,35.81
ORD0000003,1,PROD00183,SELL00005,465.61,15.69
ORD0000003,2,PROD00082,SELL00101,273.13,21.57
ORD0000003,3,PROD00092,SELL00002,482.94,42.14
ORD0000004,1,PROD00108,SELL00001,692.35,20.06
ORD0000005,1,PROD00169,SELL00101,544.21,23.02
ORD0000006,1,PROD00299,SELL00098,164.86,32.44
ORD0000007,1,PROD00188,SELL00061,897.01,16.71
ORD0000008,1,PROD00149,SELL00056,764.91,22.72
ORD0000008,2,PROD00268,SELL00011,258.69,55.14
ORD0000009,1,PROD00046,SELL00025,441.88,57.32
ORD0000010,1,PROD00044,SELL00138,835.47,14.73
ORD0000010,2,PROD00090,SELL00097,547.57,31.12
ORD0000010,3,PROD94625,SELL00090,678.76,58.41
ORD0000011,1,PROD00023,SELL00091,16.66,13.32
ORD0000012,1,PROD00295,SELL00062,198.27,39.04
ORD0000012,2,PROD00031,SELL91355,173.49,37.0
ORD0000013,1,PROD00174,SELL00071,632.91,8.52
ORD0000014,1,PROD00001,SELL00148,897.68,49.65
ORD0000015,1,PROD00176,SELL00055,131.58,17.89
ORD0000016,1,PROD00273,SELL00072,304.93,20.93
ORD0000016,2,PROD00227,SELL92937,557.2,56.97
ORD0000017,1,PROD00053,SELL00115,876.79,28.53
ORD0000017,2,PROD00029,SELL00120,586.71,46.78
ORD0000018,1,PROD00283,SELL00082,434.24,8.02
ORD0000019,1,PROD00079,SELL00017,610.8,26.49
ORD0000019,2,PROD00226,SELL00122,572.92,16.25
