order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_timestamp
ORD0000000,CUST000980,delivered,2024-04-20 16:34:19,2024-04-20 22:34:19,2024-05-09 22:34:19
ORD0000001,CUST001017,delivered,2023-02-02 10:06:29,2023-02-02 17:06:29,2023-02-05 17:06:29
ORD0000002,CUST001600,delivered,2023-12-02 04:01:59,2023-12-03 11:01:59,2023-12-14 11:01:59
ORD0000003,CUST000053,invoiced,2023-01-17 15:43:52,2023-01-17 19:43:52,
ORD0000004,CUST001761,processing,2024-02-19 21:56:46,2024-02-21 12:56:46,
ORD0000005,CUST000106,delivered,2023-01-15 01:18:45,2023-01-16 13:18:45,2023-02-02 13:18:45
ORD0000006,CUST001125,delivered,2023-04-08 06:35:39,2023-04-09 10:35:39,2023-04-24 10:35:39
ORD0000007,CUST000720,delivered,2024-11-27 20:01:37,2024-11-29 12:01:37,2024-12-12 12:01:37
ORD0000008,CUST000188,delivered,2023-02-14 23:45:13,2023-02-15 15:45:13,2023-02-24 15:45:13
ORD0000009,CUST000093,delivered,2024-08-03 13:57:24,2024-08-05 00:57:24,2024-08-25 00:57:24
ORD0000010,CUST000156,delivered,13/07/2024 02:32,2024-07-13 18:32:42,2024-07-16 18:32:42
ORD0000011,CUST000716,delivered,2023-08-08 11:58:15,2023-08-08 14:58:15,2023-08-20 14:58:15
ORD0000012,CUST001241,canceled,2023-08-16 02:58:05,2023-08-16 11:58:05,
ORD0000013,CUST000512,delivered,2024-05-24 23:43:48,2024-05-25 04:43:48,2024-05-29 04:43:48
ORD0000014,CUST001838,delivered,2024-07-01 18:54:34,2024-07-03 18:54:34,2024-07-16 18:54:34
ORD0000015,CUST001597,delivered,2024-07-07 21:46:43,2024-07-08 17:46:43,2024-07-21 17:46:43
ORD0000016,CUST001828,processing,2023-07-09 16:19:33,2023-07-11 02:19:33,
ORD0000017,CUST000709,delivered,2024-01-27 00:54:09,2024-01-27 07:54:09,2024-01-30 07:54:09
