order_id,payment_type,payment_installments,payment_value
ORD0000000,voucher,2,725.23
ORD0000001,voucher,7,1063.01
ORD0000002,debit_card,3,137.35
ORD0000003,boleto,6,1018.99
ORD0000004,credit_card,1,197.9
ORD0000005,voucher,3,651.51
ORD0000005,voucher,3,245.24
ORD0000006,boleto,3,542.07
ORD0000007,boleto,5,702.44
ORD0000008,boleto,10,1090.29
ORD0000009,debit_card,7,1386.77
ORD0000010,debit_card,7,1178.18
ORD0000011,debit_card,4,1457.44
ORD0000011,debit_card,4,89.56
ORD0000012,voucher,10,1458.04
ORD0000013,voucher,8,365.79
ORD0000014,boleto,9,1475.34
ORD0000015,voucher,8,1037.91
ORD0000016,debit_card,2,977.61
ORD0000017,voucher,9,1283.51
ORD0000017,debit_card,9,934.28
ORD0000018,credit_card,8,761.82
ORD0000019,credit_card,6,551.95
ORD0000020,debit_card,2,225.73
ORD0000021,voucher,8,104.41
ORD0000022,voucher,2,725.69
ORD0000023,boleto,7,1147.13
ORD0000024,credit_card,1,402.37
ORD0000024,debit_card,1,1066.2
ORD0000025,voucher,10,85.95
ORD0000025,voucher,10,1345.71
ORD0000026,credit_card,10,1218.77
ORD0000027,credit_card,8,1335.37
ORD0000028,voucher,2,646.07
ORD0000029,credit_card,2,229.76
ORD0000030,boleto,5,341.51
ORD0000031,boleto,9,680.27
ORD0000032,boleto,3,183.78
ORD0000033,debit_card,5,26.11
ORD0000034,debit_card,3,1034.41
ORD0000034,voucher,3,1327.11
ORD0000035,boleto,3,616.36
ORD0000036,debit_card,4,218.36
ORD0000037,voucher,4,229.37
ORD0000038,debit_card,9,666.97
ORD0000039,debit_card,10,1499.43
ORD0000039,credit_card,10,139.97
ORD0000040,debit_card,2,1037.64
ORD0000040,voucher,2,304.3
ORD0000041,voucher,4,1390.72
ORD0000042,boleto,7,756.85
ORD0000043,debit_card,5,796.96
ORD0000044,boleto,9,459.58
ORD0000045,debit_card,2,810.0
ORD0000046,credit_card,4,1186.4
ORD0000047,boleto,3,971.78
ORD0000048,debit_card,3,493.06
ORD0000049,debit_card,4,93.33
ORD0000049,voucher,4,442.71
ORD0000050,voucher,6,739.71
ORD0000051,voucher,3,1470.65
ORD0000052,credit_card,7,1222.43
ORD0000053,voucher,3,884.13
ORD0000053,credit_card,3,430.58
ORD0000054,credit_card,8,718.52
ORD0000055,debit_card,9,753.7
ORD0000056,debit_card,4,1374.53
ORD0000057,voucher,6,525.92
ORD0000057,voucher,6,226.74
ORD0000058,debit_card,4,337.63
ORD0000059,voucher,7,317.66
ORD0000060,voucher,5,862.73
ORD0000061,boleto,2,1377.78
ORD0000062,voucher,10,1404.84
ORD0000063,debit_card,4,904.25
ORD0000064,credit_card,1,878.09
ORD0000065,voucher,6,368.88
ORD0000066,boleto,1,910.23
ORD0000067,voucher,9,369.4
ORD0000068,debit_card,10,52.66
ORD0000069,credit_card,5,133.38
ORD0000070,voucher,8,840.57
ORD0000071,boleto,8,654.12
ORD0000072,debit_card,8,920.73
ORD0000073,credit_card,2,509.78
ORD0000074,boleto,10,185.29
ORD0000075,voucher,5,1169.66
ORD0000076,voucher,1,76.35
ORD0000077,credit_card,6,513.5
ORD0000078,debit_card,1,1146.8
ORD0000079,debit_card,6,957.62
ORD0000080,credit_card,8,1338.69
ORD0000081,credit_card,6,106.13
ORD0000081,credit_card,6,738.48
ORD0000082,voucher,10,382.06
ORD0000083,debit_card,2,734.73
ORD0000084,voucher,1,720.69
ORD0000085,credit_card,4,1179.71
ORD0000086,voucher,6,497.11
ORD0000087,debit_card,2,462.47
ORD0000088,boleto,10,788.93
ORD0000089,credit_card,8,79.99
ORD0000090,debit_card,2,836.13
ORD0000091,debit_card,9,1100.84
ORD0000092,debit_card,2,1238.0
ORD0000093,credit_card,4,1036.54
ORD0000094,debit_card,6,1246.65
ORD0000095,debit_card,2,488.63
ORD0000096,boleto,2,1256.79
ORD0000097,boleto,10,1399.12
ORD0000097,boleto,10,52.18
ORD0000098,credit_card,3,641.67
ORD0000099,boleto,3,636.78
ORD0000100,credit_card,5,1090.88
ORD0000100,credit_card,5,288.73
ORD0000101,debit_card,3,317.84
ORD0000102,boleto,1,664.66
ORD0000103,credit_card,3,361.75
ORD0000104,boleto,3,1120.24
ORD0000105,credit_card,9,1056.23
ORD0000106,boleto,3,530.53
ORD0000107,boleto,7,1469.05
ORD0000108,boleto,3,45.68
ORD0000109,voucher,3,224.82
ORD0000110,credit_card,2,818.38
ORD0000110,credit_card,2,1335.08
ORD0000111,credit_card,4,730.64
ORD0000112,credit_card,9,1402.85
ORD0000113,boleto,3,149.21
ORD0000113,voucher,3,945.81
ORD0000114,voucher,7,1417.45
ORD0000115,credit_card,2,134.6
ORD0000116,voucher,5,284.14
ORD0000117,credit_card,6,70.96
ORD0000118,credit_card,2,919.5
ORD0000119,voucher,2,766.58
ORD0000120,credit_card,6,143.3
ORD0000121,credit_card,6,1002.92
ORD0000122,boleto,3,1093.59
ORD0000123,credit_card,2,1464.96
ORD0000124,voucher,8,108.76
ORD0000125,debit_card,7,1207.09
ORD0000126,debit_card,1,384.5
ORD0000127,credit_card,10,440.69
ORD0000127,boleto,10,749.42
ORD0000128,credit_card,2,66.64
ORD0000129,credit_card,5,398.61
ORD0000130,credit_card,9,1185.74
ORD0000131,credit_card,7,82.35
ORD0000132,voucher,4,818.38
ORD0000133,credit_card,10,1228.49
ORD0000134,debit_card,4,1122.67
ORD0000135,credit_card,8,543.86
ORD0000136,voucher,4,725.18
ORD0000137,credit_card,10,1342.71
ORD0000137,boleto,10,546.95
ORD0000138,voucher,7,1268.46
ORD0000139,voucher,6,768.87
ORD0000140,voucher,9,538.34
ORD0000140,debit_card,9,145.6
ORD0000141,debit_card,8,554.05
ORD0000142,boleto,7,1479.91
ORD0000143,debit_card,1,173.05
ORD0000144,credit_card,3,389.83
ORD0000144,debit_card,3,326.0
ORD0000145,boleto,6,851.52
ORD0000146,credit_card,9,496.38
ORD0000147,credit_card,8,33.86
ORD0000148,debit_card,9,1337.14
ORD0000149,credit_card,7,111.9
ORD0000150,voucher,4,1076.92
ORD0000151,debit_card,1,460.38
ORD0000152,voucher,5,1391.14
ORD0000153,voucher,10,435.45
ORD0000154,debit_card,3,610.31
ORD0000155,voucher,4,161.75
ORD0000156,credit_card,9,1077.58
ORD0000157,boleto,4,433.36
ORD0000158,voucher,10,1424.96
ORD0000159,boleto,6,869.27
ORD0000160,boleto,10,703.98
ORD0000161,credit_card,8,301.51
ORD0000162,debit_card,10,193.72
ORD0000163,credit_card,1,139.72
ORD0000164,debit_card,4,762.3
ORD0000165,debit_card,9,994.49
ORD0000165,debit_card,9,1005.59
ORD0000166,boleto,10,866.0
ORD0000167,credit_card,10,1385.52
ORD0000168,boleto,8,1232.38
ORD0000169,credit_card,1,917.04
ORD0000170,boleto,7,957.43
ORD0000170,credit_card,7,886.74
ORD0000171,debit_card,7,1006.65
ORD0000172,debit_card,1,785.01
ORD0000172,credit_card,1,1405.6
ORD0000173,voucher,6,1106.52
ORD0000174,debit_card,9,312.46
ORD0000175,credit_card,5,674.05
ORD0000176,credit_card,2,276.57
ORD0000176,voucher,2,1236.72
ORD0000177,debit_card,2,682.73
ORD0000178,debit_card,8,1146.62
ORD0000179,voucher,1,1352.93
ORD0000179,boleto,1,1145.0
ORD0000180,boleto,10,507.97
ORD0000181,debit_card,9,437.68
ORD0000182,voucher,9,1116.46
ORD0000182,voucher,9,87.73
ORD0000183,debit_card,4,1455.95
ORD0000184,voucher,5,1261.45
ORD0000185,debit_card,6,550.08
ORD0000186,credit_card,8,498.74
