product_id,product_category,weight_g,length_cm,height_cm,width_cm
PROD00000,baby_products,9992,33,42,95
PROD00001,books,5656,33,10,73
PROD00002,toys,4904,40,22,39
PROD00003,musical_instruments,8209,31,73,19
PROD00004,electronics,19879,52,46,15
PROD00005,baby_products,8702,97,22,57
PROD00006,auto_parts,10687,12,85,6
PROD00007,musical_instruments,9214,27,37,7
PROD00008,garden_tools,19162,18,97,100
PROD00009,baby_products,8482,85,86,82
PROD00010,garden_tools,14539,33,46,39
PROD00011,toys,13008,24,62,34
PROD00012,baby_products,12129,23,66,16
PROD00013,fashion_clothing,6112,27,29,77
PROD00014,fashion_clothing,5961,87,41,7
PROD00015,books,5873,55,92,82
PROD00016,toys,2410,59,36,63
PROD00017,auto_parts,13239,17,97,72
PROD00018,furniture,436,82,17,53
PROD00019,beauty_health,494,21,36,15
PROD00020,books,19698,6,6,18
PROD00021,garden_tools,11138,95,15,30
PROD00022,furniture,18493,61,25,44
PROD00023,sports_leisure,8039,12,74,93
PROD00024,books,4082,7,10,18
PROD00025,garden_tools,16812,58,23,5
PROD00026,auto_parts,7477,59,54,23
PROD00027,sports_leisure,7451,92,54,92
PROD00028,auto_parts,3733,67,26,19
PROD00029,toys,9284,50,14,83
PROD00030,sports_leisure,2828,10,82,24
PROD00031,furniture,11022,81,28,91
PROD00032,beauty_health,9931,84,41,49
PROD00033,auto_parts,16409,89,52,38
PROD00034,office_supplies,2552,5,24,88
PROD00035,furniture,12849,62,97,66
PROD00036,musical_instruments,18984,59,98,40
PROD00037,furniture,4229,28,54,50
PROD00038,sports_leisure,15820,93,57,82
PROD00039,office_supplies,4579,88,36,54
PROD00040,beauty_health,17703,73,68,73
PROD00041,garden_tools,12653,15,79,96
PROD00042,beauty_health,7237,94,16,35
PROD00043,sports_leisure,,76,65,22
PROD00044,auto_parts,11497,51,22,42
PROD00045,fashion_clothing,18121,58,36,31
PROD00046,musical_instruments,4565,20,94,95
PROD00047,furniture,913,94,59,52
PROD00048,electronics,19108,14,66,81
PROD00049,musical_instruments,4863,51,23,15
PROD00050,toys,18700,58,24,28
PROD00051,fashion_clothing,17333,94,43,65
PROD00052,beauty_health,14598,87,93,6
PROD00053,books,2016,87,9,82
PROD00054,office_supplies,5304,6,55,59
PROD00055,pet_shop,14936,75,96,38
PROD00056,auto_parts,10078,95,34,59
PROD00057,auto_parts,3062,71,53,21
PROD00058,baby_products,1884,33,55,28
PROD00059,musical_instruments,18376,82,14,93
PROD00060,fashion_clothing,13324,53,26,11
PROD00061,office_supplies,13950,29,39,18
PROD00062,home_appliances,19815,47,8,35
PROD00063,books,3538,13,32,81
PROD00064,electronics,10179,29,75,30
PROD00065,pet_shop,7925,39,15,77
PROD00066,computers_accessories,15903,11,45,16
PROD00067,books,,55,69,29
PROD00068,sports_leisure,11710,21,94,91
PROD00069,home_appliances,16551,17,69,24
PROD00070,electronics,12571,66,80,9
PROD00071,books,15225,15,85,16
PROD00072,baby_products,7116,92,88,23
PROD00073,office_supplies,16487,71,98,82
PROD00074,pet_shop,11237,62,21,48
PROD00075,books,14169,10,96,92
PROD00076,beauty_health,19936,14,24,77
