review_id,order_id,review_score,review_comment_title,review_creation_date
REV000000,ORD0001686,5,Would buy again,2023-01-14 11:14:21
REV000001,ORD0002029,5,Would buy again,2024-01-01 04:28:59
REV000002,ORD0001670,4,,2023-10-07 22:41:54
REV000003,ORD0002219,5,Fast delivery,2024-09-26 11:57:43
REV000004,ORD0001046,5,Not as expected,2024-02-18 21:25:34
REV000005,ORD0001086,5,Not as expected,2024-04-27 20:26:44
REV000006,ORD0001123,4,Would buy again,2023-08-06 19:03:05
REV000007,ORD0000269,5,Exactly what I needed,2023-11-18 06:51:35
REV000008,ORD0002695,5,Fast delivery,2024-03-26 20:29:54
REV000009,ORD0000615,5,,2024-03-30 13:39:32
REV000010,ORD0000460,5,Would buy again,2024-02-10 17:35:39
REV000011,ORD0002438,2,,2024-11-29 07:00:08
REV000012,ORD0000273,3,,2023-10-27 08:38:27
REV000013,ORD0001978,5,Fast delivery,2024-06-10 21:18:22
REV000014,ORD0000209,5,Would buy again,2023-07-14 23:58:52
REV000015,ORD0001565,5,Late delivery,2023-01-19 08:34:55
REV000016,ORD0000605,3,Exactly what I needed,2023-08-03 01:36:33
REV000017,ORD0000590,3,Not as expected,2023-03-14 07:40:58
REV000018,ORD0002562,4,Poor quality,2024-08-06 00:08:23
REV000019,ORD0000454,5,Exactly what I needed,2024-04-22 06:11:08
REV000020,ORD0002046,4,,2023-07-23 14:12:14
REV000021,ORD0002222,4,Late delivery,2024-03-10 16:22:55
REV000022,ORD0002392,5,Exactly what I needed,2024-02-25 17:18:25
REV000023,ORD0001261,4,,2023-01-18 04:29:46
REV000024,ORD0000517,2,Exactly what I needed,2023-04-19 00:08:16
REV000025,ORD0001690,5,Poor quality,2023-09-09 21:39:13
REV000026,ORD0000015,5,Great product,2023-08-03 18:42:42
REV000027,ORD0000805,4,Great product,2023-10-16 12:50:47
REV000028,ORD0000618,4,Not as expected,2023-02-10 19:11:09
REV000029,ORD0000059,5,Late delivery,2023-04-11 07:45:23
REV000030,ORD0000028,1,Great product,2023-04-29 15:34:21
REV000031,ORD0002951,1,Not as expected,2024-11-23 13:05:43
REV000032,ORD0000867,2,Not as expected,2023-04-22 22:37:16
REV000033,ORD0002713,5,,2024-12-22 20:57:54
REV000034,ORD0002337,5,Late delivery,2024-06-18 16:17:24
REV000035,ORD0000088,1,Late delivery,2023-01-01 04:39:26
REV000036,ORD0000653,3,Fast delivery,2023-09-01 08:32:09
REV000037,ORD0002555,1,Fast delivery,2024-06-16 14:53:27
REV000038,ORD0000464,1,Not as expected,2024-04-23 09:29:10
REV000039,ORD0001369,5,Would buy again,2023-09-18 23:58:45
REV000040,ORD0001267,3,Not as expected,2024-01-16 11:15:38
REV000041,ORD0000558,3,Fast delivery,2024-01-16 07:04:33
REV000042,ORD0001440,1,Late delivery,2023-04-03 16:00:23
REV000043,ORD0002492,3,Fast delivery,2024-08-19 02:04:41
REV000044,ORD0001275,4,,2024-11-21 02:52:17
REV000045,ORD0002868,4,Great product,2023-07-15 04:21:41
REV000046,ORD0000624,1,,2023-03-27 05:11:04
REV000047,ORD0002076,5,Poor quality,2024-08-27 21:31:01
REV000048,ORD0001014,1,Not as expected,2023-01-09 14:33:09
REV000049,ORD0002396,1,Exactly what I needed,2024-03-28 23:23:45
REV000050,ORD0002860,5,Fast delivery,2023-09-23 18:56:53
REV000051,ORD0002284,5,Great product,2024-11-01 09:23:48
REV000052,ORD0000416,1,Poor quality,2023-10-11 01:42:22
REV000053,ORD0000451,5,Not as expected,2024-08-21 18:57:51
REV000054,ORD0000583,5,,2024-01-31 21:42:19
REV000055,ORD0000471,5,Poor quality,2023-08-04 08:47:17
REV000056,ORD0000135,5,,2023-10-26 12:18:11
REV000057,ORD0001373,5,Exactly what I needed,2024-03-14 05:19:12
REV000058,ORD0002418,4,,2024-05-28 16:01:02
REV000059,ORD0002018,5,,2024-04-27 06:00:08
REV000060,ORD0000054,3,Not as expected,2023-03-06 16:33:53
REV000061,ORD0000351,4,Not as expected,2023-11-15 21:08:26
REV000062,ORD0000763,5,Exactly what I needed,2023-10-30 07:41:03
REV000063,ORD0002802,4,Poor quality,2023-05-24 02:09:16
REV000064,ORD0001069,4,Poor quality,2024-06-01 20:04:14
REV000065,ORD0002763,5,Not as expected,2024-02-03 09:24:06
REV000066,ORD0001149,5,,2024-01-27 00:42:29
REV000067,ORD0000621,5,,2023-10-24 19:41:05
REV000068,ORD0002878,5,Fast delivery,2023-08-16 09:30:34
REV000069,ORD0000808,4,Exactly what I needed,2024-01-29 06:20:36
REV000070,ORD0001624,5,Not as expected,2023-11-02 23:17:23
REV000071,ORD0000029,4,Fast delivery,2024-12-28 07:16:35
REV000072,ORD0002863,5,Poor quality,2023-09-24 16:46:37
REV000073,ORD0000582,4,Would buy again,2023-08-19 04:58:39
REV000074,ORD0001306,5,Exactly what I needed,2023-09-14 08:59:19
REV000075,ORD0001700,3,Great product,2024-10-04 02:08:59
REV000076,ORD0002006,4,Exactly what I needed,2024-09-02 01:29:46
REV000077,ORD0000963,3,,2023-06-03 01:04:43
REV000078,ORD0000734,5,Not as expected,2024-11-11 16:53:43
REV000079,ORD0002856,4,Not as expected,2024-06-03 23:30:11
