seller_id,seller_city,seller_state
SELL00000,north sherry,CE
SELL00001,West Johnside,SP
SELL00002,Carlfurt,PE
SELL00003,Martinshire,DF
SELL00004,PORT MISTYVILLE,CE
SELL00005,Tuckerhaven,GO
SELL00006,West Richardstad,DF
SELL00007,SKINNERFURT,SP
SELL00008,Finleyton,DF
SELL00009,HALLFURT,PE
SELL00010,North Ashley,DF
SELL00011,  Coxton  ,DF
SELL00012,Biancaview,PA
SELL00013,Dianamouth,SP
SELL00014,Myersborough,MG
SELL00015,Cassandraborough,PA
SELL00016,New Robert,MG
SELL00017,WEST DEBORAHFURT,MG
SELL00018,South James,SP
SELL00019,South Dennis,PE
SELL00020,north kennethberg,RJ
SELL00021,  Javierchester  ,GO
SELL00022,port joanne,PA
SELL00023,Josephberg,RJ
SELL00024,lake xavierhaven,CE
SELL00025,new jessicaville,BA
SELL00026,HERNANDEZBURY,GO
SELL00027,Rebeccaland,BA
SELL00028,Bakerborough,GO
SELL00029,Lindaberg,SP
SELL00030,Staceyburgh,SC
SELL00031,Elizabethstad,SP
SELL00032,  East John  ,SC
SELL00033,Port Austin,PR
SELL00034,  North Christian  ,SP
SELL00035,  Melindahaven  ,DF
SELL00036,sullivanstad,RS
SELL00037,MITCHELLMOUTH,PE
SELL00038,Hendricksshire,RJ
SELL00039,Victormouth,MG
SELL00040,Matthewsview,CE
SELL00041,STACEYSTAD,GO
SELL00042,south nathan,CE
SELL00043,Ritterview,PR
SELL00044,  Hugheshaven  ,MG
SELL00045,Riversland,PR
SELL00046,CLARKVIEW,CE
SELL00047,North Gregory,CE
SELL00048,mitchellside,RS
SELL00049,New Martinport,SP
SELL00050,  Port Matthewfurt  ,DF
SELL00051,west kristin,BA
SELL00052,barbarafurt,MG
SELL00053,Meganburgh,DF
SELL00054,  Port Sandratown  ,SP
SELL00055,bergview,BA
SELL00056,East Micheal,GO
SELL00057,West Hunterville,RJ
SELL00058,Brianview,PA
SELL00059,East Laura,GO
SELL00060,South Lisa,RS
SELL00061,Kimberlyport,PE
SELL00062,Lake Lisa,DF
SELL00063,Knightbury,PE
SELL00064,PEREZTOWN,RJ
SELL00065,New Debbieville,MG
SELL00066,bentleystad,PA
SELL00067,EAST SARAH,GO
SELL00068,west jessicamouth,GO
SELL00069,New Juanburgh,PE
SELL00070,West Lisa,DF
SELL00071,JOCELYNBURGH,CE
SELL00072,smallhaven,CE
SELL00073,GREENFORT,PE
SELL00074,north tylerburgh,MG
SELL00075,Lake Allisonmouth,MG
SELL00076,east rebecca,RJ
SELL00077,Chavezshire,DF
SELL00078,rossmouth,PE
SELL00079,lopezmouth,DF
SELL00080,North Joshuaton,RJ
SELL00081,Port Crystalstad,PA
SELL00082,Port Scott,BA
SELL00083,North Sarastad,SC
SELL00084,Debraton,MG
SELL00085,north samanthafort,MG
SELL00086,Lake David,PR
SELL00087,Jacobmouth,MG
SELL00088,North Ronald,SC
SELL00089,jeremyshire,SP
SELL00090,Port Samanthafurt,PA
SELL00091,  South Victoriaton  ,GO
SELL00092,North James,BA
SELL00093,  Michaelberg  ,CE
SELL00094,THOMPSONTOWN,PE
SELL00095,New Jessica,PR
SELL00096,BOWERSSTAD,RS
SELL00097,lake nathaniel,RS
SELL00098,Margaretborough,BA
SELL00099,  East Gary  ,SP
SELL00100,perezborough,SP
SELL00101,NORTH JUSTIN,DF
SELL00102,  Vazquezbury  ,PR
SELL00103,Jeremiahbury,SC
SELL00104,SIMMONSHAVEN,MG
SELL00105,teresafort,CE
SELL00106,  Daviston  ,PR
SELL00107,WILLIAMSBURGH,GO
SELL00108,LAWSONVILLE,PA
SELL00109,Port Melissa,MG
SELL00110,  Johnsontown  ,DF
SELL00111,Martinezfurt,DF
SELL00112,West Deannaside,PA
SELL00113,New Erica,BA
SELL00114,Lake Christopher,BA
SELL00115,Wadechester,RJ
SELL00116,Amandaview,MG
SELL00117,Mendozamouth,SC
SELL00118,MOLINABERG,SC
SELL00119,East Tina,GO
SELL00120,Lake Toni,BA
SELL00121,East Samantha,RJ
SELL00122,LAKE DANIELPORT,PA
SELL00123,Wendystad,PR
SELL00124,Lake Lisa,BA
SELL00125,East Jessica,MG
SELL00126,RICHARDFURT,BA
SELL00127,Port Pamela,DF
SELL00128,jasonton,PA
SELL00129,Allenfort,RS
SELL00130,North Melissa,DF
SELL00131,NEW BRIANFURT,PE
SELL00132,HILLBURY,PE
SELL00133,South Elizabethbury,PA
SELL00134,Kelseyside,MG
SELL00135,Eddieland,DF
SELL00136,Port Paul,PR
SELL00137,GUERREROHAVEN,SC
SELL00138,ELIZABETHBURY,DF
SELL00139,sandovalfurt,PE
SELL00140,West Jessicafort,PA
SELL00141,West Lucasshire,RJ
SELL00142,port grantland,PA
SELL00143,Christopherview,PE
SELL00144,North Ashleemouth,PR
SELL00145,ronnietown,SP
SELL00146,new jennifershire,BA
SELL00147,New Manuel,SP
SELL00148,Howardburgh,PA
SELL00149,South Lindaberg,DF
